Foundation_Name,Owner/Founder,Founding_Date,Location,Assets_PHP,No_of_Members,Type_of_Foundation
Kapit-bisig Trust,Juan Bautista,1994-09-04,Makati,802957,15,Religious
Tahanan Center,Maya Gonzales,2018-12-05,Zamboanga City,374776,40,Charitable
Bukas Project,Maria Dela Cruz,1978-05-29,Bacolod,4676412,45,Educational
Tahanan Council,Evelyn Dela Cruz,2020-05-08,Valenzuela,50000,1844,Charitable
Malasakit Foundation for Education,Ruben Cruz,2007-08-21,Iloilo City,5796315,151,Community Development
Gabayan Foundation for Youth,Miguel Magbanua,1970-08-01,Puerto Princesa,946667,367,Arts & Culture
Haraya Fund of Baguio,Pedro Rodriguez,2000-03-13,Antipolo,2982252,40,Research
Tulong Project,Ana Dizon,2000-11-09,Ormoc,779159,55,Charitable
Paglaum Charitable Foundation,Maria Bautista,2011-03-21,Malaybalay,102520,54,Environmental
Pag-asa Help Fund,Antonio Reyes,2019-07-12,Lipa,109931,15,Charitable
Sigla Foundation for Youth - Rodriguez,Ruben Reyes,1974-02-10,Koronadal,50000,122,Charitable
Tahanan Charitable Foundation,Rosa Reyes,1990-11-20,Antipolo,176707,101,Health
Luntiang Alliance,Emilio Navarro,2002-09-24,Paranaque,57993,33,Charitable
Kalinga Foundation for Education of Baguio,Ruben Abalos,1976-05-28,Ormoc,150146,42,Charitable
Kapit-bisig Center,Grace Bautista,1991-12-18,Paranaque,725840,6,Religious
Gabayan Project,Miguel Abalos,2019-12-20,Iloilo City,50000,35,Health
Dangal Fund,Carlos Navarro,1975-01-07,Iloilo City,286201,16,Charitable
Lingap Charitable Foundation,Ramon Mendoza,1994-01-08,Cebu City,545559,30,Health
Kalinga Help Fund,Francis Sison,1998-03-26,Bacolod,828525,168,Community Development
Kapit-bisig Network,Antonio Sison,2011-03-02,Cagayan de Oro,222250,139,Charitable
Tahanan Community Trust of Butuan,Grace Velasco,2022-06-12,Tacloban,301502,19,Community Development
Sigla Initiative - Garcia,Mark Villanueva,1978-02-26,Puerto Princesa,1380301,38,Arts & Culture
Lingap Society,Ana Garcia,1984-05-09,Cabuyao,323645,25,Educational
Haraya Foundation for Youth,Jose Mendoza,2004-03-27,Ormoc,3513772,746,Charitable
Gabayan Council,Miguel Cruz,1971-01-12,Cabuyao,154851,86,Human Rights
Gabay Trust,Ella Sison,2018-03-05,Puerto Princesa,50000,48,Educational
Paglaum Charitable Foundation #27,Daniel Lopez,1980-01-04,Lipa,165939,7,Charitable
Gabayan Foundation of Sorsogon,Rico Bautista,1993-08-18,Iligan,50000,115,Charitable
Tatak Center,Mark Abalos,1979-07-19,Laguna,1374209,6,Community Development
Pag-ibig Society,Daniel Delgado,2024-08-19,Valenzuela,193479,25,Religious
Bagong Fund,Rogelio Fernandez,2018-05-23,Vigan,271916,78,Community Development
Sulong Help Fund,Juan Ortega,1999-01-30,Angeles City,408044,193,Arts & Culture
Sigla Help Fund - Alcantara,Jocelyn Villar,1991-06-26,Davao City,2186417,38,Health
Tahanan Help Fund,Francis Reyes,1977-09-07,Sorsogon,1103684,17,Microfinance
Tulong Charitable Foundation of Malaybalay,Rogelio Garcia,1981-07-09,Koronadal,1280231,16,Educational
Aklat Council,Liza Velasco,2017-05-04,Ormoc,1140481,17,Health
Haraya Initiative,Marisol Cruz,1988-01-18,Bayawan,1947674,58,Community Development
Pag-ibig Project,Ella Navarro,2003-07-03,Iloilo Province,301308,997,Religious
Sulong Network,Ana Torres,1990-02-27,Cebu City,162113,39,Community Development
Makabayan Foundation,Francis Cruz,1990-08-24,Roxas,2957547,118,Health
Tahanan Foundation,Jose Castillo,1975-04-14,Iloilo City,289014,41,Arts & Culture
Lingap Society of Naga,Jose Delgado,1991-05-09,Baguio,280982,27,Charitable
Dangal Network,Roberto Cruz,1981-11-14,Sorsogon,878937,113,Charitable
Aklat Initiative - Magbanua,Lea Magbanua,2006-07-09,Valenzuela,410598,42,Educational
Pag-asa Trust,Ella Aquino,2001-10-14,Tacloban,65961,33,Charitable
Haraya Network,Aileen Bautista,1974-11-11,Cabuyao,50000,34,Charitable
Kapit-bisig Foundation for Education,Ana Santos,2006-02-14,Sorsogon,999461,20,Charitable
Makabayan Charitable Foundation,Aileen Gonzales,1992-04-22,Valenzuela,307905,13,Educational
Gabayan Center of Tacloban,Liza Velasco,2011-07-04,Makati,87105,27,Religious
Tulong Network,Jocelyn Manalo,2019-05-17,Antipolo,132756,43,Educational
Lingap Foundation for Education,Grace Alcantara,1971-04-29,Zamboanga City,133798,28,Educational
Tatak Society,Cristina Fernandez,2006-06-18,Angeles City,100832,12,Charitable
Aklat Initiative,Aileen Mendoza,1975-04-06,Paranaque,920120,18,Educational
Luntiang Foundation,Antonio Velasco,2010-10-27,Lipa,534116,46,Human Rights
Gabay Charitable Foundation - Cruz,Ella Castillo,2013-08-30,Cagayan de Oro,127229,40,Religious
Kalinga Foundation of Roxas,Maya Cruz,1975-06-21,Ilagan,62472,1676,Religious
Makabayan Foundation #57,Maria Salvador,2012-10-10,Iligan,490760,191,Charitable
Sulong Center,Maria Delgado,1977-03-10,Dasmariñas,342145,18,Arts & Culture
Tulong Foundation for Youth,Jose Ramos,1991-02-07,Lucena,50000,14,Charitable
Pag-asa Help Fund #60,Francis Torres,2021-12-09,Ormoc,1333935,21,Educational
Lingap Foundation for Youth,Jose Aquino,2022-05-13,Dipolog,808760,46,Microfinance
Sulong Fund,Marisol Velasco,1988-04-29,Koronadal,291282,23,Religious
Tahanan Alliance of Lucena,Pedro Ramos,1996-11-30,Cavite City,1896160,35,Health
Makabayan Help Fund,Rogelio Abalos,1976-07-05,Manila,787579,41,Arts & Culture
Gabayan Foundation for Youth #65,Francis Gonzales,1976-07-28,Malaybalay,785898,33,Community Development
Paglaum Center - Abalos,Teresa Sison,1976-03-04,Makati,999980,1117,Community Development
Sigla Alliance,Liza Padilla,2018-09-26,Bayawan,211676,33,Charitable
Pag-ibig Foundation for Youth,Jocelyn Navarro,2017-06-15,Manila,188764,578,Charitable
Dangal Society,Grace Villar,1979-04-18,Taguig,533044,136,Educational
Pag-asa Community Trust of Butuan,Pedro Velasco,1995-04-12,Ormoc,50000,46,Educational
Kalinga Community Trust,Ramon Rodriguez,1993-09-07,Iligan,869577,25,Charitable
Aklat Alliance,Rico Abalos,1974-07-23,Zamboanga City,90318,44,Human Rights
Kapit-bisig Project,Carlos Velasco,1973-12-15,Manila,1296969,43,Community Development
Makabayan Charitable Foundation #74,Pedro Navarro,1993-07-02,Paranaque,453795,176,Educational
Gabay Network,Grace Castillo,2008-05-15,Butuan,444809,7,Arts & Culture
Bayan Trust,Jose Sison,1983-05-17,Malaybalay,330660,15,Educational
Bagong Project - Garcia,Maria Villar,2002-09-18,Caloocan,439967,42,Research
Sigla Initiative,Ella Torres,1979-03-23,Batangas City,690360,15,Environmental
Tatak Council,Rico Manalo,2006-06-17,San Fernando,1637337,39,Educational
Gabay Center,Marisol Abalos,1991-03-29,Paranaque,1867013,19,Charitable
Sampaguita Help Fund,Carmen Dela Cruz,1986-02-03,Ilagan,3606654,9,Health
Makabayan Charitable Foundation #82,Marisol Aquino,1992-04-06,Baguio,276820,119,Educational
Sampaguita Charitable Foundation,Ruben Gonzales,2004-04-27,Caloocan,131862,153,Health
Kalinga Society of Cavite City,Teresa Villar,1990-06-02,Iloilo City,379284,8,Research
Bayan Foundation for Education,Roberto Mendoza,1999-06-14,Baguio,181050,174,Educational
Tulong Charitable Foundation,Miguel Dizon,2015-09-14,Lucena,269077,26,Charitable
Dangal Society #87,Grace Lopez,1972-06-23,Pasig,101229,33,Microfinance
Bukas Alliance - Santos,Ana Ortega,2008-12-26,Batangas City,1702685,48,Health
Gabay Charitable Foundation,Ramon Aquino,2024-05-21,Iligan,460008,43,Charitable
Pag-asa Project,Rico Salvador,1987-01-20,General Santos,1163232,30,Charitable
Haraya Foundation of Mandaue,Marisol Magbanua,2018-04-22,Cabuyao,160621,10,Charitable
Gabay Community Trust,Maya Ramos,1987-09-05,Tarlac,956319,11,Religious
Haraya Trust,Ella Abalos,1999-08-16,San Fernando,267038,1182,Community Development
Makabayan Foundation for Education,Aileen Gonzales,1996-12-10,Iligan,266212,46,Environmental
Pag-ibig Foundation for Education,Carmen Lopez,2006-02-06,Tagum,553354,21,Charitable
Pag-ibig Council,Pedro Rodriguez,2007-09-21,Koronadal,332573,144,Educational
Luntiang Foundation for Education,Maya Sison,1985-08-12,San Fernando,1523253,17,Microfinance
Luntiang Council of Manila,Rosa Villar,1988-11-09,Tacloban,1000983,43,Health
Kapit-bisig Fund - Padilla,Emilio Padilla,1989-03-04,Iligan,538271,45,Microfinance
Aklat Charitable Foundation,Rico Magbanua,1985-03-23,Koronadal,1082233,1384,Community Development
Tulong Alliance,Mark Ramos,2025-07-22,Naga,50000,43,Charitable
Tulong Society,Rogelio Torres,1997-11-06,Iloilo City,614297,41,Arts & Culture
Kalinga Center,Juan Santos,1991-12-20,Marikina,368663,1177,Arts & Culture
Kaagapay Society,Rogelio Reyes,2010-11-10,Olongapo,1578795,22,Health
Kalinga Community Trust of Tagum,Antonio Villanueva,2005-11-08,Makati,370716,26,Educational
Bagong Foundation for Education,Ruben Dela Cruz,1979-07-25,Vigan,1406634,33,Religious
Haraya Initiative #107,Liza Magbanua,2016-06-20,Cavite City,457786,5,Charitable
Lingap Council,Cristina Abalos,1980-11-20,Cavite City,454101,201,Environmental
Bagong Charitable Foundation,Emilio Ramos,2017-08-26,Butuan,3687390,23,Environmental
Tatak Help Fund - Padilla,Evelyn Alcantara,2015-04-15,Tacloban,123365,45,Human Rights
Pamana Network,Rico Fernandez,2012-08-02,Iloilo Province,50000,40,Community Development
Tahanan Society of Laguna,Miguel Navarro,2016-10-07,Angeles City,333591,35,Educational
Kapit-bisig Initiative,Miguel Padilla,1976-12-13,Bayawan,254372,19,Health
