Company Name,Assets (PHP),Total Projects,Address,Date of Birth
golden holdings,460490186,139,Cebu City,1974-05-18
metro builders,483165389,16,Bacolod,1974-05-18
redbrick works,255159369,164,Makati,1974-05-18
golden works,14957658,156,Cagayan de Oro,1962-11-13
southern builders,388549097,105,Baguio,1962-11-13
alpha developers,45367473,45,Davao City,1962-11-13
prime construction,199236413,188,Quezon City,1961-03-15
bluewave holdings,46207794,172,Davao City,1961-03-15
delta works,377132006,38,Cebu City,1961-03-15
united contractors,489956832,57,Davao City,1991-04-22
greenfield builders,393621180,42,Zamboanga,1991-04-22
summit projects,161224061,12,General Santos,1991-04-22
bravo engineering,250946801,199,Davao City,1976-08-05
silverline infrastructure,13046462,26,Quezon City,1976-08-05
trust works,315941967,94,Baguio,1976-08-05
skyline developers,257433548,76,Cebu City,1980-06-18
metro contractors,413054286,143,Davao City,1980-06-18
alpha group,266365401,51,Makati,1980-06-18
redbrick holdings,316226351,8,Davao City,1962-10-10
eastern builders,282215891,60,Bacolod,1962-10-10
western construction,258466804,28,Davao City,1989-12-29
solid works,120394052,37,Zamboanga,1989-12-29
northern projects,190394052,141,Cagayan de Oro,1989-12-29
pacific contractors,404862914,92,Baguio,1989-12-29
southern developers,270194582,67,Quezon City,1989-12-29
prime builders,163094052,30,Davao City,1965-01-25
bluewave contractors,209394052,114,Davao City,1965-01-25
delta construction,394802913,73,Cebu City,1965-01-25
united engineering,183094052,36,Makati,1972-07-07
greenfield holdings,402913048,88,General Santos,1972-07-07
alpha infrastructure,276348903,101,Iloilo,1971-06-04
bravo developers,194802913,53,Cebu City,1971-06-04
summit holdings,304859203,150,Davao City,1971-06-04
golden contractors,288490231,32,Quezon City,1988-08-08
metro engineering,254982134,89,Bacolod,1988-08-08
delta group,194802134,61,Davao City,1988-08-08
redbrick construction,305982134,72,Davao City,1988-08-08
united works,212983094,24,Baguio,1978-04-05
bluewave projects,298302134,142,Davao City,1978-04-05
silverline builders,408932134,118,Makati,1978-04-05
trust developers,320983094,59,Davao City,1992-11-01
skyline works,223094852,97,Quezon City,1992-11-01
